"","Gene","control_1","control_2","control_3","RNAi_1","RNAi_2","RNAi_3"
"14281","CG43292",0,0,0,4,0,0
"14282","CG43293",23,17,20,83,33,124
"14284","CG43295",340,326,462,228,126,493
"14285","CG43296",1,0,0,1,0,0
"14286","lncRNA:CR43297",1,0,0,7,0,0
"14287","lncRNA:CR43298",0,0,0,1,0,0
"14288","asRNA:CR43299",5,3,4,4,1,3
"14289","lncRNA:CR43300",0,0,2,1,2,4
"14290","lncRNA:CR43301",36,37,58,36,32,31
"14291","lncRNA:CR43302",3,0,2,0,0,3
"14292","lncRNA:CR43303",0,2,0,0,0,0
"14293","lncRNA:CR43304",1,1,0,1,0,2
"14294","lncRNA:CR43306",0,0,0,4,0,2
"14296","CG43308",0,0,0,1,1,0
"14297","CR43309",19,17,23,40,11,38
"14299","CG43312",0,1,0,3,0,0
"14300","Chpf",1197,1027,1166,944,814,769
"14301","SERCA",18608,15510,17646,18360,14874,13615
"14303","lncRNA:CR43314",2,3,8,8,11,8
"14304","CG43315",2,3,1,0,1,0
"14306","CG43317",20,19,31,30,16,26
"14307","CG43318",5,3,2,13,3,12
"14308","CG43319",0,0,0,0,1,2
"14309","HSPBAP1",300,265,377,234,149,287
"14310","CG43321",0,0,0,3,0,0
"14311","CG43322",29,29,40,37,29,56
"14312","CG43324",945,766,1300,2096,1702,3815
"14313","CG43325",0,0,0,0,0,1
"14317","CG43329",1,0,1,5,1,0
"14318","CG43330",0,0,1,1,0,0
"14319","CG43331",0,1,0,3,1,0
"14320","CG43332",1,2,0,0,0,1
"14321","CG43333",55,28,22,55,64,37
"14322","CG43335",0,0,0,2,0,0
"14323","CG43336",2,0,0,1,1,0
"14324","lncRNA:CR43337",22,25,24,19,13,17
"14326","CG43342",279,275,360,216,151,203
"14327","Gpdh3",2871,2513,2933,2264,1585,1740
"14328","lncRNA:let7C",31,22,28,113,48,176
"14331","CG43347",2082,1949,3084,5430,5555,4698
"14332","Klp54D",47,32,60,92,114,101
"14333","M7BP",12232,7625,9239,8706,5786,6013
"14334","CG43339",2,1,3,2,0,2
"14335","CG43338",20,5,15,18,25,15
"14336","CG43348",0,0,0,1,0,0
"14337","CG43349",2,4,7,1,1,4
"14340","HP1Lcsd",0,1,4,1,0,2
"14344","lncRNA:CR43356",3,10,13,7,2,2
"14348","CR43360",3,0,0,0,0,0
"14351","lncRNA:CR43363",5,4,4,7,7,7
"14352","CR43364",0,7,9,5,2,10
"14353","psq",8525,6792,8917,8280,7467,5908
"14354","DnaJ-1",5988,5052,5624,7187,8268,6728
"14356","BtbVII",7400,6214,7271,6817,5594,5166
"14357","CG43366",89,144,76,75,98,50
"14358","CG43367",2590,2229,3064,3377,3150,2622
"14359","cac",9529,8797,11574,9613,8219,7133
"14360","Mitf",2956,2426,3235,1864,1623,1626
"14361","Cc2d2a",415,234,129,288,228,216
"14363","5-HT1B",244,244,420,615,552,474
"14364","CG34377",65,396,62,24,76,70
"14365","tx",124,110,191,76,109,87
"14366","Acsl",10292,7985,9338,9989,7297,7610
"14367","Prosα1",1,3,1,6,0,5
"14368","lncRNA:CR43372",0,1,0,1,2,0
"14369","CG43373",567,528,872,1520,1379,1132
"14370","Cht6",839,880,911,1718,1150,885
"14371","mEFG1",2049,1740,1880,1540,1098,1254
"14372","vret",1108,915,1212,771,557,689
"14373","bin3",8929,7187,9021,7007,5818,5442
"14374","Patronin",9252,8164,9644,11498,9703,8434
"14375","Acn",18323,16492,20438,14039,11221,11143
"14376","Galk",894,834,1097,1462,1151,1331
"14379","CG43376",1,2,0,1,4,3
"14389","CG43386",0,4,3,2,2,3
"14391","Dscam4",2161,2002,3360,5953,5270,4765
"14392","Hk",1061,893,1712,1834,1832,1484
"14393","bel",21862,17738,20593,21573,17220,17056
"14395","robls54B",11,11,16,20,8,5
"14396","Phae1",1,1,19,3,7,2
"14397","Phae2",1,0,2,0,3,0
"14398","SP1029",1058,1083,1348,2969,2561,2133
"14399","Cdk7",2458,2308,2768,1474,1142,1524
"14400","dar1",90,49,64,105,98,31
"14401","Coop",1490,1302,1592,966,720,862
"14402","Mocs1",770,571,647,757,614,689
"14403","CG43389",0,1,2,20,7,17
"14407","CG43393",0,0,0,1,0,0
"14410","Cngl",2527,2174,4762,3223,3341,2655
"14411","chas",394,387,367,430,484,298
"14412","sel",1037,846,1126,1404,1154,2388
"14415","Fic",750,609,809,758,602,831
"14416","scrib",14978,13793,14367,15901,11860,10814
"14418","CG43400",1,0,0,2,2,1
"14419","Mrp4",1150,970,1297,1765,1446,1265
"14421","CG43402",1,4,1,2,0,10
"14423","lncRNA:CR43404",1,1,1,1,0,0
"14424","CG43405",2,2,0,5,0,0
"14428","lncRNA:CR43409",0,0,0,1,0,0
"14434","lncRNA:CR43415",0,0,1,3,0,0
"14436","lncRNA:CR43417",6,10,5,21,24,34
"14437","lncRNA:CR43418",1,0,1,0,0,0
"14439","lncRNA:CR43420",0,0,0,1,0,0
"14440","lncRNA:CR43421",0,1,0,0,0,0
"14443","lncRNA:CR43424",1,2,0,3,1,3
"14445","asRNA:CR43426",23,11,18,9,14,20
"14446","smash",3134,2818,3772,3825,3721,2970
"14447","AP-2μ",5005,4307,5440,6177,5038,6268
"14448","Unr",20415,16805,18838,19510,15426,14284
"14449","CG11000",2563,2043,3933,2525,2585,2230
"14450","CG42784",46,42,67,69,80,52
"14451","CG31688",1105,923,1444,1513,1225,1213
"14452","CG43428",2,2,2,4,3,6
"14453","asRNA:CR43429",0,0,0,1,0,0
"14455","lncRNA:CR43431",98,92,155,113,124,152
"14456","lncRNA:CR43432",120,63,41,208,169,237
"14458","lncRNA:CR43434",0,0,0,1,0,0
"14460","lncRNA:CR43436",15,5,18,15,12,19
"14461","lncRNA:CR43437",160,151,154,125,75,121
"14464","lncRNA:CR43440",0,0,0,3,0,1
"14466","Nha2",102,63,178,34,37,46
"14467","hts",19245,15192,18581,20717,17262,16424
"14468","Tet",53582,48391,53096,45767,31750,31822
"14469","hppy",4322,4004,4338,5257,4301,3891
"14470","sqd",49589,43979,49376,35500,27852,27980
"14471","Ih",3780,3036,6388,5419,5231,4480
"14472","Uck",2629,2244,3223,2330,1825,2032
"14476","CG43448",246,195,267,225,118,540
"14478","CG43450",2,0,0,1,0,0
"14479","lncRNA:CR43451",0,0,0,2,1,0
"14480","lncRNA:CR43452",0,0,0,1,1,1
"14481","lncRNA:CR43453",0,0,0,0,0,1
"14484","lncRNA:CR43456",0,0,0,0,1,0
"14485","lncRNA:CR43457",0,0,0,1,1,0
"14486","lncRNA:CR43458",0,1,3,1,2,0
"14487","lncRNA:CR43459",81,66,119,57,70,57
"14492","asRNA:CR43466",0,0,0,1,1,2
"14495","asRNA:CR43469",10,12,7,4,6,5
"14504","nwk",2260,1925,4185,4307,4123,3765
"14507","snoRNA:2R:9445410",15,14,17,28,5,21
"14520","snoRNA:2R:9445205",6,6,5,7,5,3
"14538","mld",6862,5839,7050,6429,5079,4637
"14539","asRNA:CR43481",86,62,82,116,97,120
"14543","lncRNA:CR43485",0,0,0,1,0,0
"14545","lncRNA:CR43487",1,0,0,0,0,0
"14548","lncRNA:CR43490",0,0,0,1,0,0
"14549","lncRNA:CR43491",1,0,0,0,0,0
"14550","lncRNA:CR43492",7,6,2,26,16,24
"14555","lncRNA:CR43498",0,3,3,2,0,4
"14556","nclb",5896,4727,5231,4663,3365,4780
"14557","Vsx1",86,106,153,121,150,158
"14558","Vsx2",151,123,199,172,162,179
"14560","mir-4966-1",1,0,0,0,0,0
"14561","mir-4983",0,0,0,0,1,0
"14614","mir-4981",0,0,0,0,1,0
"14625","CG43610",0,0,1,2,0,0
"14629","asRNA:CR43614",0,0,0,1,2,0
"14631","Lpin",4302,3664,5731,9478,9365,7663
"14632","lost",37621,30961,37024,28517,20225,25703
"14635","Acp98AB",0,0,1,0,0,0
"14636","Vha68-2",8127,6136,9168,9856,8169,8392
"14637","Brr2",19222,15608,16979,15821,12061,11336
"14638","PolD1",3276,2638,3028,1869,1312,1466
"14639","mib1",4656,3608,4581,4183,3619,3234
"14640","Tasp1",1603,1336,1459,1221,846,1091
"14641","Zn72D",10009,8355,9628,9207,7562,7790
"14642","l(3)72Dn",2298,2047,2277,1519,1067,1213
"14643","Hsc20",306,287,351,290,227,317
"14644","l(3)72Dp",259,252,294,343,290,291
"14645","l(3)72Dr",23,30,42,32,27,28
"14651","lncRNA:CR43626",4,5,9,24,16,29
"14652","lncRNA:CR43627",1,0,1,5,0,0
"14655","CG43630",2,6,0,1,6,6
"14656","lncRNA:CR43631",1,0,0,1,1,0
"14657","lncRNA:CR43632",0,1,1,0,0,0
"14658","lncRNA:CR43633",1,0,0,1,0,0
"14659","lncRNA:CR43634",8,9,12,7,7,8
"14660","lncRNA:CR43635",11,9,3,13,9,10
"14671","lncRNA:CR43641",3,5,2,3,5,12
"14672","lncRNA:CR43642",0,0,0,3,1,0
"14673","lncRNA:CR43643",1,3,4,4,0,2
"14674","lncRNA:CR43644",5,5,6,7,7,13
"14676","CG43646",11,7,6,9,13,7
"14677","CG43647",4,10,13,12,7,12
"14678","lncRNA:CR43648",1,0,0,0,0,1
"14679","lncRNA:CR43649",0,0,0,0,0,1
"14680","lncRNA:CR43650",315,179,255,131,131,129
"14681","lncRNA:CR43651",20,9,9,7,7,15
"14687","Lpt",3176,2688,3167,2294,1826,1784
"14688","Uba3",2205,1879,2268,1754,1255,1500
"14689","Myo10A",632,455,517,600,698,327
"14690","CG43658",1162,1198,1377,2317,2065,1681
"14695","eIF2γ",14251,11756,13875,10933,8170,11346
"14696","CG43666",2,1,0,1,0,0
"14697","CG43667",2,0,0,2,0,0
"14698","CG43668",0,2,1,1,3,1
"14699","CR43669",14,9,10,8,7,8
"14700","CR43670",468,447,598,548,435,549
"14701","CR43671",32,23,41,4,2,1
"14702","CG43672",378,343,365,234,193,208
"14703","CG43673",43,30,25,15,9,11
"14707","CG43677",1,0,0,0,1,0
"14711","lncRNA:CR43681",1,1,0,0,0,0
"14712","lncRNA:CR43682",6,5,14,17,10,7
"14715","lncRNA:CR43685",1318,1169,1458,1221,916,1463
"14717","CR43687",3,0,1,0,2,1
"14718","CR43688",1,0,0,0,0,0
"14719","CG43689",725,654,1147,1542,1526,1232
"14721","CG43691",1,0,1,5,0,0
"14722","CG43693",3117,2189,4346,3159,2456,3034
"14725","CG17684",626,618,969,1335,1156,1323
"14726","Hmgcr",1261,1106,1499,1352,1167,1162
"14729","CG40486",8,12,24,1,10,8
"14730","Gen",1443,1209,1453,887,669,812
"14731","Rcd5",11038,9607,11834,6372,4787,5424
"14734","lncRNA:CR43700",1,5,2,4,0,3
"14736","CG43702",14,4,13,16,8,16
"14738","lncRNA:CR43704",0,0,1,3,0,8
"14739","lncRNA:CR43705",0,3,0,0,2,0
"14741","CG43707",1325,1264,2185,3108,3076,2500
"14743","CG43709",0,0,1,0,0,0
"14744","CG43710",0,0,0,2,0,0
"14745","CG43711",9,2,3,11,1,3
"14747","Dad1",3303,2909,3677,3078,2184,5429
"14748","BubR1",6989,5922,7020,4507,3119,3223
"14749","mRpL45",2036,1630,2046,1476,1062,1376
"14750","Dark",1516,1313,1477,1776,1360,1271
"14751","lncRNA:CR43713",0,0,1,0,0,0
"14756","lncRNA:CR43718",0,0,0,2,0,0
"14758","sick",4675,3948,5683,9666,8680,7292
"14760","COX8",3910,3409,5092,3952,2561,10064
"14761","Ent2",11415,9833,11820,9186,5901,7744
"14762","jvl",4094,3594,4256,4564,3998,3446
"14763","dally",2242,1888,2643,3520,3356,2625
"14764","ebi",6896,6163,7063,6134,4744,4863
"14765","esn",1203,1148,1892,2507,2544,2148
"14766","asRNA:CR43723",35,39,67,43,23,41
"14767","nonC",10466,9259,10854,8268,5815,5757
"14768","lncRNA:CR43724",2,7,4,0,2,4
"14769","CG43725",0,0,0,0,1,0
"14771","qin",93,152,172,116,117,131
"14772","CR43727",69,68,110,60,28,56
"14774","Tim17b",7470,6250,8027,7325,5220,12073
"14775","Caf1-55",20420,17545,19186,14790,10231,15388
"14776","Stacl",2301,1840,3672,3697,3601,2829
"14777","asRNA:CR43730",26,16,18,17,14,14
"14780","CR43734",3,1,4,6,5,5
"14781","cd",32,27,37,30,35,31
"14782","spoon",15285,12906,14753,11959,9226,8973
"14783","Dic61B",194,164,237,466,344,285
"14785","CG43736",8406,8003,9287,7191,6078,5517
"14786","CG43737",2930,2699,4263,4443,4784,3872
"14787","cpo",1222,1184,1770,1920,1980,1566
"14789","CG43740",444,384,843,586,602,561
"14790","Ack-like",10602,8358,10065,11121,8831,7898
"14792","GluRIB",763,696,1248,1773,1572,1335
"14793","bru3",2785,2444,3970,6833,6497,5613
"14794","MsR2",99,71,132,405,303,301
"14795","Hmx",130,167,203,289,256,256
"14796","dysc",1695,1498,3045,2477,2670,2093
"14797","tgo",3194,2864,3142,3138,2727,2658
"14799","Flo2",3141,3063,3718,3702,3125,3228
"14800","CG43750",2,2,2,6,3,3
"14802","lncRNA:CR43753",3,3,4,9,5,6
"14803","lncRNA:CR43754",5,4,3,12,6,7
"14805","Slob",837,738,1585,1073,1030,842
"14806","sli",14746,13703,16036,20276,16831,14882
"14807","CG43759",2682,2329,2659,3184,2774,2391
"14808","Send2",5,0,3,3,4,5
"14809","CG43760",0,0,1,7,0,0
"14810","lncRNA:CR43761",2,0,0,2,0,2
"14811","lncRNA:CR43762",2,2,2,1,0,0
"14812","lncRNA:CR43763",0,0,0,2,0,0
"14813","lncRNA:CR43764",0,0,1,2,0,0
