"","Gene","control_1","control_2","control_3","RNAi_1","RNAi_2","RNAi_3"
"1","7SLRNA:CR32864",0,0,1,0,0,0
"2","a",827,657,691,890,631,597
"3","abd-A",4754,3866,5866,8296,7137,6244
"4","Abd-B",994,752,1351,2414,2000,1850
"5","Abl",6897,5862,7178,11089,9546,8474
"6","abo",758,592,738,662,480,600
"8","Ace",5212,4757,5830,13737,9473,10037
"9","acj6",157,136,209,329,328,262
"10","Acph-1",1110,959,1242,1530,1127,1462
"11","nAChRα1",1775,1620,2742,4700,4180,3376
"12","mAChR-A",1320,1058,2135,2030,2145,1588
"13","nAChRβ1",1840,1669,3671,3195,3133,2776
"14","nAChRα2",993,930,1479,2544,2282,2133
"15","Act5C",146018,131631,150893,251810,200115,230984
"16","Act42A",38047,31921,34063,54470,42868,45558
"17","Act57B",1895,1435,4524,2008,1990,2049
"18","Act79B",22,34,34,47,40,37
"19","Act87E",279,179,468,402,218,251
"20","Act88F",11,25,20,23,22,24
"21","Pfas",6766,5407,5921,4517,3656,3665
"22","Gart",10591,8253,9397,7302,5708,6158
"25","adp",1013,899,1205,1190,1001,1009
"26","al",175,107,135,190,179,42
"27","Mps1",2360,1907,2218,1630,1089,1241
"28","Ald1",27687,19815,46734,18064,17613,18073
"29","Ama",14480,13177,15370,20975,13125,19907
"30","amd",9,8,16,15,14,21
"31","amx",466,352,404,448,328,538
"32","Amy-d",6,11,257,14,14,21
"33","Amy-p",13,23,208,32,39,61
"34","AnxB9",6734,5812,8985,12125,10265,13545
"35","AnxB10",1027,882,1287,1930,1642,2347
"36","dyw",103,84,96,112,57,102
"37","Anp",0,0,0,2,0,5
"38","aop",1638,1478,1549,1829,1712,1412
"39","RpLP0",113523,96870,117187,92858,65019,113813
"40","Appl",13241,12221,19256,30210,28971,24308
"41","Aprt",479,386,489,467,324,593
"42","bru1",596,542,882,1257,1216,1092
"43","Arl1",1836,1679,1919,2077,1580,2454
"44","Argk1",31702,25121,37065,38935,31298,38912
"45","arm",16040,14297,17423,22313,19583,19230
"46","arr",2258,1995,2330,2422,2245,1707
"47","Arr1",1,5,1,2,0,1
"50","ash2",5287,4376,5401,3748,2831,3276
"51","asp",13978,11249,13741,8896,6260,6014
"52","aub",465,353,359,566,347,424
"53","aurA",2057,1844,1984,1668,1069,1588
"54","awd",43886,35438,40759,42745,29251,58188
"55","Axs",570,462,627,500,435,442
"56","b",69,62,47,263,106,135
"57","Dll",717,551,852,618,769,500
"58","bam",2187,2193,1922,1833,1168,1450
"59","baz",4703,4363,4988,3356,2451,2401
"60","bcd",6,7,8,2,3,1
"61","ben",9749,7839,9753,11715,8886,11583
"63","bib",721,538,684,1808,1602,1184
"64","bic",53278,46469,54885,40866,28333,51684
"66","BicD",2782,2454,3001,2731,2322,2223
"67","boss",1,7,5,2,3,0
"68","brm",20791,17518,20866,16932,13936,12214
"69","Brd",101,118,115,47,95,58
"70","brn",289,239,268,204,185,247
"72","Nin",3303,2822,3298,2903,2366,2160
"73","bsk",4804,4153,5540,5537,4376,6070
"74","btd",890,650,817,421,376,333
"75","bur",8558,7250,8419,6499,4842,5227
"76","bw",41,25,42,106,55,67
"77","by",925,745,1381,888,872,977
"78","c(3)G",755,657,832,678,441,565
"79","ca",5613,4942,5828,4698,3790,3749
"80","cact",2411,2060,2527,2923,2430,2231
"81","cad",26,24,62,34,16,23
"82","Cam",49435,42841,56917,48665,41587,46156
"83","capu",1199,924,1263,1835,1569,1385
"84","car",1443,1257,1632,1764,1391,1443
"85","CkIIβ",11510,10038,12075,10644,8572,9902
"86","Cat",5358,5031,6021,7352,6503,6574
"87","Pka-C1",6651,5898,8186,11500,9507,9438
"88","Pka-C2",3,5,1,13,1,3
"89","CecA1",11,16,12,12,29,37
"90","CecA2",2,1,1,6,8,6
"91","CecB",7,8,5,3,5,3
"92","CecC",43,56,40,36,138,104
"95","Cp190",25223,22938,25492,18655,13645,13732
"96","Cf2",1676,1400,1835,2166,1733,1788
"97","salr",1130,1192,1597,2586,2427,2157
"98","cg",17476,13650,15947,15742,12688,11868
"99","Col4a1",4686,3494,8332,4880,6486,4174
"100","ChAT",690,616,1213,1001,1070,1044
"102","chic",36038,30164,35819,61893,48004,81150
"103","cin",3650,3112,4012,3455,2600,3352
"104","ck",889,862,981,1099,1001,791
"105","cl",2957,2508,3070,2916,2017,5314
"106","Chc",21554,18458,23568,29881,25476,23117
"107","eya",666,700,695,442,408,339
"108","clt",1105,829,1069,1250,985,1130
"109","cm",1142,1013,1268,1241,1023,1194
"110","cn",5,8,11,0,1,2
"111","cni",1964,1769,2233,2472,1725,5243
"112","comt",4079,3264,5003,4360,3706,3764
"113","cort",364,343,354,313,187,263
"114","cos",3180,2574,3129,3347,2811,2605
"115","Cp15",0,0,0,0,1,1
"117","Cp18",32,26,29,28,27,31
"121","crc",15571,13007,15439,13406,9885,11923
"122","crm",3523,2999,3588,2388,1873,1824
"123","crn",5161,4308,4778,3728,2733,3242
"124","csw",3620,3169,4837,6321,5960,5161
"125","cta",2810,2389,2979,2378,1687,2141
"127","cv",723,639,711,638,458,690
"128","cv-2",668,515,833,1929,1725,1476
"129","CycA",30463,25925,28206,19368,12371,15510
"130","CycB",15246,11850,13651,10037,6937,7481
"131","Cyt-b5-r",42,144,490,80,195,279
"132","D",1402,1270,1451,916,801,742
"133","D1",37207,33446,39568,26169,19014,23899
"134","Dab",8789,7719,9560,11132,9239,8206
"135","Sap-r",21410,18987,21858,45814,37051,35073
"136","Ddc",364,303,700,1691,1687,1724
"138","dec",1,0,0,1,3,11
"139","Dfd",76,95,109,117,131,144
"140","Pkg21D",1,1,7,1,2,3
"141","Dhod",4714,3749,4571,3504,2585,3338
"142","Hr3",61,46,112,136,146,115
"143","dib",2,11,3,2,3,0
"144","ect",110,97,120,318,236,272
"145","Dip-B",5847,4719,6008,8148,6140,7660
"146","Dip-C",831,817,1225,1643,1354,1638
"147","disco",228,292,375,298,376,285
"148","Dl",4567,4000,4548,2978,2272,2100
"149","Lar",654,461,595,783,637,634
"151","DNaseII",1205,998,1145,3862,2812,5262
"152","dnc",680,608,839,918,811,727
"154","Pka-C3",144,137,157,164,107,133
"155","dpp",247,198,375,350,350,253
"156","Dr",2591,1924,2442,2501,1788,1884
"157","dsh",3943,3438,3776,3549,2921,2987
"159","dsx",292,250,264,346,308,230
"160","dwg",1636,1571,1719,1252,952,1260
"161","dx",1985,1711,2023,1647,1353,1246
"162","e",638,544,538,2567,1929,1572
"163","bsh",0,3,3,7,8,4
"164","ea",108,105,156,93,117,100
"165","eag",790,749,1543,1057,1119,946
"166","eas",2020,1918,2403,2157,1625,1806
"167","E(bx)",30975,26177,32149,24566,18761,17494
"168","ec",831,872,1001,807,906,429
"169","ecd",2505,2292,2494,2800,2166,2452
"170","EcR",5002,4515,6310,8474,8593,7077
"171","ed",10161,8702,9877,7177,6212,5465
"172","Edg78E",22,13,40,33,28,27
"173","Edg84A",0,2,0,2,0,2
"174","eEF1α2",14022,13010,19152,40214,39421,43553
"175","eEF2",269090,194263,222485,191223,153202,148316
"176","eg",515,348,470,220,130,188
"177","egl",948,880,1219,1195,1234,999
"178","Eh",19,27,68,0,29,45
"179","MsrA",2631,2317,5144,3543,2728,4002
"180","Cth",4034,3416,4588,4119,3429,3952
"181","Eip74EF",3727,3649,4450,15079,13789,11735
"182","Eip75B",7422,7611,10878,18211,16111,12654
"184","ems",2161,1797,2159,1291,1036,961
"185","en",811,458,720,695,596,422
"186","ena",6256,5238,6285,8383,7114,6246
"187","Eno",39122,27045,44722,29270,24137,31136
"188","E(Pc)",21726,19088,21061,16655,12483,11834
"190","E(spl)m8-HLH",749,638,744,455,356,495
"191","Est-6",22,31,44,18,18,19
"193","eve",33,33,67,84,82,105
"194","exd",7139,6459,7810,7408,6012,6187
"195","exu",92,95,121,351,78,91
"196","Taf9",2694,2375,2710,2094,1484,2346
"197","e(y)2",1149,1040,1193,808,522,1418
"198","eyg",22,48,29,28,30,22
"199","E(z)",3855,3273,3933,2992,2375,2479
"200","tei",5270,4044,5534,6902,6323,5234
"201","Fas2",5584,4484,6888,12964,12379,10881
"202","Fas3",1608,1399,1808,3098,2845,2156
"203","Fbp1",14356,32637,23801,104249,129510,103328
"204","Fbp2",2305,3986,9015,6711,14933,10731
"205","Fcp3C",44,25,43,56,67,63
"206","fj",1438,1075,1116,799,808,598
"207","fkh",198,291,357,404,319,343
"208","fl(2)d",8497,7641,8686,6693,5126,5359
"209","Actn",13279,11177,13644,11300,8751,9122
"210","fliI",3546,2877,3265,3074,2781,2350
"211","flw",2618,2195,2685,2337,1988,1935
"212","FMRFa",1663,1448,2585,2571,2384,2539
"213","fog",883,710,914,1759,1475,1443
"214","for",1725,1606,2106,2058,1824,1514
"215","FER",2384,2184,2721,3892,3523,3056
"216","gd",1348,1259,1217,727,425,646
"217","fs(1)K10",2137,1812,2078,1623,1240,1332
"218","png",789,660,734,467,209,369
"219","fs(1)Ya",0,6,2,4,5,4
"220","fs(1)Yb",30,35,48,29,25,14
"221","tj",113,129,177,233,233,210
"222","dup",9895,8168,9020,5684,4065,4425
"223","ft",1933,1652,1792,1585,1703,882
"224","ftz",6,11,10,31,27,37
"225","ftz-f1",2705,2167,2843,1264,1005,998
"226","fu",1226,1109,1317,1066,850,810
"227","fw",4726,3974,4351,2917,1933,2100
"228","fy",437,405,425,369,294,406
"229","fz",1010,946,1241,1683,1465,1385
"230","fzy",8067,6631,7556,5008,3596,4098
"231","g",1982,2038,2598,2577,2204,2364
"232","Gal",170,177,117,1169,737,875
"234","Gapdh1",25359,17694,31343,18242,15794,21250
"235","Gapdh2",41355,28366,51587,29940,26371,34085
"236","Gdh",12974,11866,19553,10340,9726,8846
"237","gdl",46,40,40,37,26,45
"238","Gαi",11664,11003,12927,10103,7203,8593
"239","Gβ13F",19665,16273,19940,25032,20423,20940
"240","DCTN1-p150",3433,3008,3537,4399,3469,3096
"241","Gld",200,164,179,231,144,219
"242","Glt",2170,2419,3964,10326,10156,7521
"243","gnu",1,2,3,1,0,0
"244","Gαo",8616,7335,12091,18416,17332,16187
"245","Gαs",5104,4168,5462,5667,4625,6208
"246","Got1",7558,5461,8067,5668,4283,5925
"247","Got2",2258,1895,3259,2529,2465,3337
"248","Gpdh1",1440,1267,1959,1156,1058,1388
"249","grau",1746,1570,1821,1486,1161,1404
"250","Grd",80,71,85,106,115,98
"251","grk",131,134,130,259,185,177
"252","grn",449,384,551,978,1080,918
"253","gro",16767,14448,16393,13291,10411,10630
"255","Gs2",9439,6645,15802,8370,7723,9090
"256","gsb-n",2773,2167,2482,1971,1165,1444
"257","gsb",1191,869,944,840,526,653
"258","GstD1",6997,5286,7948,8662,7569,11382
"259","gt",143,70,112,160,91,120
"260","h",517,412,733,835,1344,815
"261","H",5035,4412,4996,4405,3354,3125
"262","H2.0",6,4,9,1,2,7
"263","halo",0,0,1,2,3,2
"265","hb",382,322,419,558,402,422
"266","her",2769,2269,2422,2338,1634,1862
"267","Hex-A",7744,6108,10216,5918,5603,5497
"269","hfw",1906,1591,2084,2082,1699,1580
"270","His2Av",45978,42757,47456,34502,21115,41672
"271","hook",2062,1743,2185,2368,1888,2159
"272","Hmr",2816,2554,3165,2235,1777,1549
"273","Hn",208,485,608,470,1150,673
"274","Hrb98DE",31302,25970,28475,31276,23981,24589
"275","Hsc70-1",14,9,16,20,8,8
"276","Hsc70-2",1533,1324,1587,96,16,19
"277","Hsc70-3",31110,26722,28812,46552,41005,36043
"278","Hsc70-5",15469,13298,15751,14322,11556,11401
"279","Hsf",4161,3382,4487,3510,3017,3100
"281","Hsp23",34756,25232,32936,113282,96479,121505
"282","Hsp26",12603,8900,13022,21860,21535,23449
"283","Hsp27",34363,26946,28841,54363,43856,54892
"284","Hsp67Ba",503,430,515,1430,1517,1711
"285","CG4456",0,0,0,3,0,1
"286","Hsp67Bc",749,733,677,5567,4382,5799
"287","Hsp68",2176,1844,2597,5535,10064,4136
"288","Hsp83",122001,109227,85147,111685,109964,112418
"289","lncRNA:Hsrω",6809,5512,6621,8747,6708,10028
"290","hth",17117,14201,17327,16291,13496,11825
"291","Ide",5185,4367,5584,5193,4172,4318
"292","Idh",11321,9185,11895,12182,10653,10863
"293","if",803,724,1200,966,875,856
"294","ImpE1",2547,2080,1633,13364,10125,9104
"295","ImpE2",2018,1851,170,2549,3526,1216
"297","ImpL1",41,43,32,49,27,30
"298","ImpL2",4509,6413,7658,2234,1814,1832
"299","Ldh",11408,6086,11032,11326,8874,11020
"300","in",111,80,68,91,96,48
"301","inaD",215,195,106,184,164,158
"302","inv",1844,1456,1899,1414,1062,1050
"303","ix",796,748,924,733,550,785
"304","janA",2984,2651,3111,2589,1739,3413
"305","janB",7,9,7,28,6,8
"306","Jon44E",1,7,220,4,1,24
"307","Jra",1111,1039,1395,1825,1646,1859
"308","kar",2843,2506,3310,4157,3272,3735
"309","kay",2828,2363,3686,5360,4953,4343
"310","kel",5068,4359,5294,4884,3979,3592
"311","Khc",9032,8047,9734,12227,10040,9833
"312","kkv",684,669,775,621,716,366
"313","kl-2",8,15,12,4,3,3
"314","klar",34271,30306,33119,21082,15452,14846
"315","kn",2294,2012,2649,1919,1688,1527
"316","kni",821,657,751,726,490,486
"317","knk",40,39,33,75,39,26
"318","knrl",332,268,313,247,198,165
"319","kto",11418,9316,10756,9453,7331,6612
"321","kz",3539,3080,3491,2419,1862,1883
"322","Mybbp1A",4573,4260,4487,3470,2548,2521
"323","egh",2989,2778,3349,5234,4441,3899
"324","l(1)10Bb",1705,1409,1741,1649,1144,3008
"325","Hlc",8380,6552,7336,5428,4127,4845
"326","Grip91",2889,2510,2866,2368,1812,1592
"327","dlg1",12703,10461,12481,11757,9562,8529
"328","ifc",4517,3691,4813,5020,4069,4383
"329","eIF4A",145179,118779,137728,111980,80749,115493
"330","Arpc1",6327,5615,7000,7372,5828,7795
"331","Sos",6039,4949,6017,5765,4538,4321
"332","NimC3",0,0,0,1,0,0
"333","Pgant35A",17,11,15,18,13,28
"334","CIAPIN1",2074,1668,1841,2075,1452,2310
"335","stc",9918,7337,8358,7657,5689,5436
"336","wor",16572,11212,14587,8685,5565,6481
"337","Mtr4",5882,5191,5417,4590,3294,3328
"338","Gli",720,637,638,1049,961,816
"339","ND-B17",1852,1400,1929,1807,1441,2223
"340","wek",1691,1539,1797,1241,845,1149
"341","Ca-α1D",1591,1421,2704,3172,3125,2638
"342","Cyp303a1",47,30,50,38,21,29
"343","crp",13511,11984,14166,11504,9950,9005
"344","mRpL4",1603,1515,1987,1199,928,2137
"345","l(2)37Bb",738,779,1062,764,632,781
"346","Catsup",3556,3021,3524,2759,2171,2583
"347","Lim3",376,373,487,827,711,671
"348","Phb1",10663,9306,11052,8308,6102,8507
"349","CG10561",255,210,311,266,197,254
"350","swm",6436,5220,6541,6027,5307,4599
"351","AspRS",2805,2152,2132,2009,1513,1694
"352","l(2)gl",19870,15879,18543,13242,9227,10801
"354","dre4",31080,26055,30309,21763,15955,16432
"355","l(3)73Ah",1195,1099,1251,1067,814,1117
"356","Prosβ6",8188,6351,7925,7632,6016,8306
"357","sas",954,769,915,835,971,485
"358","l(3)87Df",500,514,578,422,253,774
"359","dco",9263,7963,9559,10040,8188,7965
"360","hyd",22249,18141,21360,20357,15519,14596
"361","l(3)mbn",18,15,38,3,25,23
"362","l(3)mbt",4212,3791,4386,3658,2872,2649
"363","sti",24226,21043,23555,16117,10954,11361
"364","pho",6106,5133,6520,5286,3694,6092
"365","lab",20,33,13,27,19,23
"366","lace",3978,3292,4266,4047,3297,3529
"367","Lam",42781,39154,45215,28526,21100,22756
"368","LanA",30413,23731,30999,25064,20426,18235
"369","Lcp1",1490,1077,3953,1275,2299,3207
"370","Lcp2",394,289,1062,446,746,929
"371","Lcp3",17,20,149,19,32,140
"372","Lcp4",537,466,2645,240,895,1678
"373","lds",6069,5079,5875,3988,2837,3120
"374","robo2",1505,1425,1664,2249,2115,1665
"375","lin",3197,2854,3123,2293,1778,1578
"377","Lsp1α",4754,23033,50154,9423,40336,32913
"378","Lsp1β",22372,69093,91060,29915,98109,49351
"379","Lsp1γ",786,6163,28733,7237,51825,13683
"380","Lsp2",1682,4775,6293,3909,9750,8213
"381","lt",5706,4714,6143,4608,3439,4309
"382","Rab32",407,414,385,560,523,450
"383","Mal-A2",1,0,4,0,0,0
"384","Mal-A1",6,5,19,1,4,0
"385","Mal-A3",3,11,162,10,5,8
"386","sens",11,28,1,10,21,10
"387","lz",16,64,14,13,21,18
"388","m",54,22,19,33,66,17
"389","Kaz-m1",3,2,17,1,2,4
"390","RpL36",87669,74874,91582,72931,47603,127572
"391","RpS5a",134971,108142,132623,104901,72602,134364
"392","E(spl)m2-BFM",157,191,166,191,208,211
"393","RpLP1",90472,80488,100017,82965,56616,130902
"394","E(spl)m3-HLH",243,256,311,288,370,369
"395","RpS3",118381,101001,126656,100387,64063,181210
"396","RpL32",75119,67889,85196,61514,37891,140244
"397","E(spl)m4-BFM",163,248,214,106,173,107
"398","E(spl)m5-HLH",6,18,14,0,22,23
"399","E(spl)m6-BFM",86,100,81,318,235,364
"400","E(spl)m7-HLH",375,326,324,366,334,352
"401","Rcc1",22510,18477,22598,13188,8567,11077
"402","mal",829,742,925,823,691,781
"403","mam",5588,5438,6663,7155,6453,5454
"404","Map205",12477,10132,12460,14344,12245,10330
"405","twe",305,276,299,345,209,271
"406","mei-9",1908,1566,1930,1532,1254,1317
"407","mei-218",22,19,21,24,15,14
"408","mei-S332",2276,1974,2260,1291,989,1430
"410","Men",10467,6782,9658,9342,8036,8439
"411","Met",966,901,1032,935,879,764
"412","E(spl)mα-BFM",449,452,381,486,480,397
"413","E(spl)mβ-HLH",1923,1732,2759,2878,2522,3117
"414","E(spl)mδ-HLH",69,87,63,53,58,50
"415","E(spl)mγ-HLH",2044,1715,2063,1010,642,972
"416","mago",4904,4535,5716,4124,2654,5421
"417","Mlc1",430,338,1005,372,294,409
"418","Mlc2",1564,1192,4301,1494,1322,2190
"419","mle",5682,5072,6053,5515,4567,4392
"420","msl-3",2167,1924,2254,1640,1134,1308
"421","mnd",16266,21376,27600,8570,5670,7146
"422","mod",33828,30101,35679,26904,19026,24291
"423","mod(mdg4)",27187,24709,28239,19938,15169,17298
"424","mor",19660,16955,19846,15736,12654,12075
"425","Rpn8",7950,6538,7217,8269,6504,7844
"426","Mp20",297,279,736,835,514,549
"427","mr",2914,2601,3318,2299,1823,2032
"428","ms(3)K81",2,6,6,5,1,3
"432","Mst87F",7,3,6,103,10,28
"434","Mst98Ca",1,2,9,110,0,0
"435","MtnA",4257,3514,10567,5658,4567,19156
"436","MtnB",1,2,3,3,6,13
"437","mu2",6323,5369,6889,4108,2976,3029
"439","mus101",2383,2017,2398,1631,1251,1190
"440","mus201",2827,2001,2556,2143,1610,1474
"441","PolZ1",4645,3459,3909,3131,2239,2014
"442","mus301",2047,1827,2143,1530,980,1258
"443","mus304",920,713,938,751,555,601
"444","PolQ",2864,2268,2515,3288,2542,2233
"445","Blm",2050,1864,2316,1544,1137,1133
"448","na",2881,2161,3417,4317,3982,3476
"449","Atpα",66536,53323,82682,76463,67045,60953
"450","nau",1,3,2,10,7,18
"451","ncd",11042,10653,11911,6429,4633,5588
"452","ndl",509,333,207,566,408,404
"454","net",277,262,358,510,330,364
"455","neur",4544,3580,3947,3242,2207,2115
"458","ninaB",11,18,9,2,7,3
"459","ninaC",5,3,17,10,20,16
"460","ninaD",3,4,22,2,1,6
"461","ninaE",3,4,5,3,3,4
"462","slou",640,454,574,546,547,454
"463","nkd",1334,1219,1487,1110,1344,886
"464","nod",1916,1579,1931,1214,836,1054
"465","nos",1,2,0,1,2,1
"466","numb",12847,10622,12487,8863,6090,6230
"467","odd",63,52,74,78,80,55
"468","okr",1293,1160,1382,1113,774,864
"469","opa",1189,1139,1421,782,735,604
"470","or",848,749,1007,913,734,1111
"471","ord",1,2,0,6,1,2
"472","ort",6,3,8,6,3,3
"473","osk",0,0,0,1,1,0
"474","osp",1225,1059,1494,2103,1873,1551
"475","otu",3,5,14,10,3,4
"476","ovo",371,319,405,299,442,181
"478","pbl",10805,9620,11061,7174,4984,5691
"479","Pc",3135,2534,3048,2079,1641,1631
"480","Pcl",4042,3568,4237,3305,2904,2410
"482","pcx",4268,3723,4292,5113,3977,3425
"483","peb",211,248,227,453,407,416
"485","CG9757",56,41,226,6,26,34
"486","Fib",14216,12601,14468,8893,6222,8015
"487","CG2150",6,4,0,5,2,0
"489","per",142,121,189,278,263,281
"490","Pfk",15740,11029,16124,10588,8276,9204
"491","Pgi",14380,10477,20081,11219,10362,11658
"492","Pgm1",4641,3228,6691,3393,3134,4002
"493","Raf",2326,1902,2597,2463,2144,2051
"494","phr",1373,1195,1340,1158,739,1144
"496","pim",2270,1822,2369,1313,886,1581
"497","pip",74,90,56,69,71,46
"498","pk",4577,4346,4775,4155,3268,3263
"499","Pkc53E",608,529,1021,1178,1142,1113
"500","Pkc98E",2523,2333,3570,4680,4363,3983
"501","plu",1,2,0,2,1,4
"502","pn",454,361,502,425,353,467
"503","pnr",44,64,75,363,278,220
"504","pnt",899,882,1154,1107,1112,868
"505","polo",20332,16950,19804,12772,8750,10330
"506","Poxm",41,16,26,18,31,21
"509","Pp1α-96A",3506,3040,4009,3874,3614,3520
"510","Ppn",3305,2303,5683,2075,4050,2007
"511","PpV",2595,2260,2787,2354,1869,2223
"512","PpY-55A",0,0,0,2,0,0
"513","pr",1748,1671,2152,1657,1167,2261
"514","prd",1,0,1,3,2,0
"515","Prm",353,236,629,445,306,347
"516","CG2841",7810,6240,7451,4242,3267,3146
"517","Pu",141,137,255,868,358,432
"518","pum",8961,8100,10222,10469,9708,8518
"519","put",3107,2557,3130,2828,2183,2241
"520","pwn",458,349,452,416,478,266
"521","px",4629,4263,5413,5056,4551,4030
"522","qua",29,59,20,35,39,14
"523","r",10214,9313,10487,6776,5573,5488
"524","ras",10810,9666,11070,10280,7579,8463
"525","Ras85D",8168,7847,9062,10060,7477,10965
"526","Ras64B",3274,2706,3776,3179,2569,3131
"527","raw",2392,2239,2544,3852,3015,2546
"529","rdgB",2493,2088,3076,2444,2062,2021
"530","rec",986,766,1051,670,488,565
"531","ref(2)P",6088,5311,6474,7169,6500,6296
"532","Rh2",11,6,5,18,13,17
"533","Rh3",1,3,3,2,5,2
"534","Rh4",27,19,37,14,22,17
"535","rib",39,31,59,46,32,27
"536","rk",250,245,246,1554,1243,1156
"537","rl",2791,2528,3018,2907,2157,3713
"538","r-l",5537,4636,4876,3284,2213,3026
"539","Rm62",102716,76088,94054,67672,49568,57821
"540","ro",1,7,0,0,1,1
"541","rod",9628,8210,9584,6783,4659,4956
"542","amos",0,0,0,1,1,0
"543","RpLP2",67910,63226,85477,61212,39076,134580
"544","Polr2F",3659,3392,3809,2744,1649,5529
"545","Polr2A",20821,17074,18883,14362,12417,10659
"546","Polr1B",4717,4260,4860,3248,2378,2332
"547","RpL4",161135,130790,167752,123433,90733,114610
"549","rt",143,114,152,221,232,162
"551","run",1468,995,1392,916,708,849
"552","rut",3766,3324,4272,5144,4443,3912
"553","rux",1182,1073,1211,825,606,977
"554","ry",304,281,363,453,499,446
"555","S",6544,5603,6675,4813,4214,3594
"556","sad",109,218,46,84,85,54
"558","sax",2752,2335,2843,2146,1921,1945
"559","Sb",40,26,23,40,38,29
"560","sbr",7280,6211,7153,5995,4931,4791
"561","sca",1450,1495,1633,2191,2096,1820
"562","Sce",2488,2115,2397,2015,1541,1735
"563","Scm",4378,3763,4402,3458,2830,2779
"564","Scr",682,353,400,1503,1454,1156
"565","sd",11107,9407,10704,9561,7139,7551
"566","RanGAP",12620,11385,12853,9586,6723,8015
"567","sei",1389,1287,1821,1270,1155,1098
"568","Jon99Cii",9,16,971,4,7,99
"569","Jon99Ciii",15,11,922,0,11,102
"570","Jon99Ci",30,20,301,15,16,68
"572","sev",2486,2352,3248,2830,2337,2290
"573","sgg",7342,6909,9022,9325,8122,7496
"574","Sgs1",49,28,68,43,35,16
"575","Sgs3",54,108,314,1,49,12
"577","Sgs5",25,26,89,32,174,69
"578","Sgs7",75,109,408,4,53,13
"579","Sgs8",76,74,155,9,49,14
"580","Sh",3515,3277,6152,6288,6441,5512
"581","sha",107,58,43,85,56,46
"582","Shaw",1211,950,2019,1817,1800,1469
"583","shd",89,122,138,100,158,115
"584","shf",348,276,289,370,298,290
"585","shg",8591,8193,8438,7252,5616,5081
"586","shi",10100,8389,12196,13174,11835,10727
"587","shn",2789,2203,2964,2011,1911,1455
"588","shu",990,882,1049,646,394,628
"590","sisA",0,1,1,1,0,1
"591","skd",10714,9798,11343,11220,9373,7805
"592","sl",970,842,986,1134,960,871
"593","slgA",9244,6888,10338,8479,7453,7152
"594","slo",2315,2031,4610,2355,2427,1954
"595","slp1",1756,1460,1669,1234,912,1325
"596","sm",3801,3428,4970,7073,7102,5809
"597","smo",1638,1505,1698,1447,1166,1156
"598","sn",3185,3062,3549,12966,11405,11400
"599","sna",1279,929,949,629,539,595
"600","snf",4235,3732,4424,3858,2958,4989
"601","snk",2,0,2,1,3,9
"602","stwl",3508,2613,3249,2397,1734,1767
"603","so",147,252,183,172,195,115
"604","Sod1",8141,6594,9198,9640,7479,14676
"605","sog",542,428,561,688,669,561
"606","sol",9410,7546,8999,7907,6424,6271
"607","spir",2260,1798,2733,3509,3109,2831
"608","spn-A",1391,1189,1345,1023,756,933
"609","spn-B",296,238,313,187,122,247
"610","spn-D",210,138,243,147,81,177
"611","spn-E",1222,1119,1337,1184,916,867
"612","spo",3,1,1,0,2,1
"613","spz",505,407,722,2180,1839,1724
"614","sr",207,172,372,290,517,220
"615","Btk",4910,3916,4655,5934,5173,4744
"616","srp",190,274,362,1286,1158,833
"619","Sry-δ",2733,2456,2882,2215,1697,2069
"620","ss",55,42,82,114,93,50
"621","sqh",7310,6381,7987,9854,7737,9103
"623","sta",202108,159580,200038,159567,117297,187069
"624","stau",32542,25023,29474,26816,19457,19679
"625","stg",6338,4925,6304,4937,3935,3677
"626","stil",21,35,38,34,8,40
"627","sub",3977,3323,4010,2496,1580,2755
"628","Su(dx)",4160,3597,4133,3767,3189,2913
"629","su(f)",5262,4446,5542,3888,3124,3467
"630","su(Hw)",6662,5402,5959,4542,3249,3397
"631","su(sable)",5339,4443,5696,3950,3439,3069
"632","Su(var)3-7",8024,7300,8462,5858,4761,4348
"633","Su(var)205",23703,19275,21380,18280,11968,20671
"634","Su(var)2-10",13032,11300,13404,10348,8130,8113
"635","su(w[a])",15134,13091,17618,14113,11825,11319
"636","svp",20204,18709,21643,13522,9480,10652
"637","sw",1958,1481,2018,2011,1710,1595
"638","swa",7,2,3,7,7,3
"639","sws",2930,2462,3156,3544,2896,2767
"641","CCT1",23074,19007,20700,20352,14991,21023
"642","term",0,0,1,0,0,0
"643","Tbp",2141,1901,2219,1646,1229,1407
"644","thr",6164,5158,5880,3775,2502,2603
"645","tipE",93,74,133,156,194,155
"646","tko",891,789,1101,713,516,1684
"647","tkv",4572,3841,4827,3420,3074,2530
"648","tld",938,725,936,653,648,505
"649","tll",35,194,132,12,145,94
"650","Tm1",13777,11802,15827,15858,13192,14611
"651","Egfr",2390,2250,2666,1955,2103,1476
"652","tor",4,9,7,13,17,8
"653","tra",820,663,884,882,727,977
"654","tra2",3577,3378,3879,2949,2169,3600
"655","trc",3516,2963,3479,3920,3183,3225
"656","Gr5a",6,7,6,4,6,2
"657","Treh",25416,17572,22579,17593,12518,13809
"658","trk",62,40,53,83,70,76
"659","trp",1,4,0,2,2,0
"660","trx",14048,11731,13192,12019,9174,8577
"661","αTry",16,4,51,1,18,7
"662","tsg",4,1,0,0,0,5
"663","tsh",20639,13795,18514,16537,12830,11716
